cnpj_cpf_cliente,referencia,referencia_busca_cliente,data_primeiro_vencimento,dia_vencimento,descricao,numero,codigo_vendedor,data_vigencia_inicial,data_vigencia_final,situacao,recorrencia,tipo_faturamento,indice_reajuste,codigo_banco_conta,codigo_forma_pagamento,codigo_plano_contas,codigo_condicao_pagamento,observacao_fiscal,observacao_nao_fiscal,data_proximo_reajuste,servicos.referencia,servicos.quantidade,servicos.valor_unitario,servicos.complemento,tipo_desconto_boleto_ate_vencimento,valor_desconto_boleto_ate_vencimento,id_importacao_pessoa,Mensagem,Id
,56,1,02/06/2025,2,,80,17,01/08/2024,,,1,1,0,2,5,133,0,,,,117,2,"0,01",,0,0,6375,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,97,1,03/06/2025,3,,279,16,01/07/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,1,"474,96",,0,0,6156,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,98,1,10/06/2025,10,,280,18,01/07/2019,,,1,1,0,2,5,133,0,,,02/07/2025,119,1,"204,92",,0,0,5286,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,171,1,15/06/2025,15,,353,16,01/07/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,8,"68,78",,0,0,6157,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,171,1,15/06/2025,15,,353,16,01/07/2021,,,1,1,0,2,5,133,0,,,02/07/2025,95,2,"48,29",,0,0,6157,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,226,1,03/06/2025,3,,433,34,01/07/2019,,,1,0,0,3,5,7,0,,,02/07/2025,4,1,"255,65",,0,0,5533,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,226,1,03/06/2025,3,,433,34,03/03/2024,04/04/2025,,1,0,0,3,5,7,0,,,,31,1,"269,88",,0,0,5533,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,226,1,03/06/2025,3,,433,34,03/03/2024,03/05/2024,,1,0,0,3,5,7,0,,,,14,1,800,,0,0,5533,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,226,1,10/06/2025,10,,433,34,10/05/2025,11/05/2025,,1,0,0,3,5,7,0,,,,14,1,180,,0,0,5533,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,248,1,02/06/2025,2,,455,30,01/07/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,1,"307,35",,0,0,7256,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,248,1,02/06/2025,2,,455,30,02/05/2024,,,1,1,0,2,5,133,0,,,,4,1,"0,01",,0,0,7256,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
